mask,K,start_index,height_m,union_count,intersection_count,intersection_fraction_of_level
observation_any,3,3,14236.842105263157,0,0,0.0
observation_any,3,3,15000.0,0,0,0.0
observation_any,4,0,500.0,25863,21733,0.5379322294002624
observation_any,4,0,1263.157894736842,26338,22612,0.5596891166060246
observation_any,4,0,2026.3157894736842,26804,23194,0.5740947006262221
observation_any,4,0,2789.4736842105262,26401,21377,0.5291205663226157
observation_any,4,0,3552.6315789473683,20121,14811,0.366599836637707
observation_any,4,0,4315.78947368421,15937,12029,0.29774015494665973
observation_any,4,0,5078.9473684210525,14046,10349,0.25615702581619265
observation_any,4,0,5842.105263157895,11195,8205,0.20308903244969184
observation_any,4,0,6605.263157894737,7507,4920,0.12177916388208213
observation_any,4,0,7368.421052631578,2342,913,0.022598450533402637
observation_any,4,0,8131.578947368421,172,29,0.0007178040147521101
observation_any,4,0,8894.736842105263,10,0,0.0
observation_any,4,0,9657.894736842105,0,0,0.0
observation_any,4,0,10421.052631578947,0,0,0.0
observation_any,4,0,11184.21052631579,0,0,0.0
observation_any,4,0,11947.368421052632,0,0,0.0
observation_any,4,0,12710.526315789473,0,0,0.0
observation_any,4,0,13473.684210526315,0,0,0.0
observation_any,4,0,14236.842105263157,0,0,0.0
observation_any,4,0,15000.0,0,0,0.0
observation_any,4,1,500.0,25927,22044,0.5456300586619143
observation_any,4,1,1263.157894736842,26433,22901,0.566842404890968
observation_any,4,1,2026.3157894736842,26864,23473,0.5810004702853889
observation_any,4,1,2789.4736842105262,26338,21672,0.5364223657830252
observation_any,4,1,3552.6315789473683,19917,15125,0.3743719214870919
observation_any,4,1,4315.78947368421,15880,12453,0.3082349446795871
observation_any,4,1,5078.9473684210525,14232,10846,0.2684587015172892
observation_any,4,1,5842.105263157895,11358,8523,0.21096012474938738
observation_any,4,1,6605.263157894737,7575,5107,0.12640776218410435
observation_any,4,1,7368.421052631578,2375,1029,0.02546966659241108
observation_any,4,1,8131.578947368421,161,29,0.0007178040147521101
observation_any,4,1,8894.736842105263,7,0,0.0
observation_any,4,1,9657.894736842105,0,0,0.0
observation_any,4,1,10421.052631578947,0,0,0.0
observation_any,4,1,11184.21052631579,0,0,0.0
observation_any,4,1,11947.368421052632,0,0,0.0
observation_any,4,1,12710.526315789473,0,0,0.0
observation_any,4,1,13473.684210526315,0,0,0.0
observation_any,4,1,14236.842105263157,0,0,0.0
observation_any,4,1,15000.0,0,0,0.0
observation_any,4,2,500.0,25933,22304,0.5520655429321056
observation_any,4,2,1263.157894736842,26455,23083,0.5713472438801019
observation_any,4,2,2026.3157894736842,26839,23532,0.5824608301774709
observation_any,4,2,2789.4736842105262,26318,21756,0.5385015222395485
observation_any,4,2,3552.6315789473683,19966,15285,0.37833221949951734
observation_any,4,2,4315.78947368421,16026,12736,0.3152397217890646
observation_any,4,2,5078.9473684210525,14460,11259,0.2786812207618623
observation_any,4,2,5842.105263157895,11631,8809,0.21803915744659785
observation_any,4,2,6605.263157894737,7695,5291,0.1309621048983936
observation_any,4,2,7368.421052631578,2397,1029,0.02546966659241108
observation_any,4,2,8131.578947368421,182,28,0.0006930521521744511
observation_any,4,2,8894.736842105263,24,0,0.0
observation_any,4,2,9657.894736842105,8,0,0.0
observation_any,4,2,10421.052631578947,0,0,0.0
observation_any,4,2,11184.21052631579,0,0,0.0
observation_any,4,2,11947.368421052632,0,0,0.0
observation_any,4,2,12710.526315789473,0,0,0.0
observation_any,4,2,13473.684210526315,0,0,0.0
observation_any,4,2,14236.842105263157,0,0,0.0
observation_any,4,2,15000.0,0,0,0.0
observation_any,5,0,500.0,26177,21412,0.5299868815128338
observation_any,5,0,1263.157894736842,26644,22293,0.5517932724437514
observation_any,5,0,2026.3157894736842,27099,22857,0.5657533229375511
observation_any,5,0,2789.4736842105262,26684,20914,0.5176604539491597
observation_any,5,0,3552.6315789473683,20515,14402,0.3564763248434445
observation_any,5,0,4315.78947368421,16277,11722,0.2901413331353184
observation_any,5,0,5078.9473684210525,14484,10084,0.24959778223311305
observation_any,5,0,5842.105263157895,11562,8007,0.19818816365931535
observation_any,5,0,6605.263157894737,7759,4732,0.11712581371748224
observation_any,5,0,7368.421052631578,2480,834,0.02064305338976758
observation_any,5,0,8131.578947368421,192,26,0.0006435484270191332
observation_any,5,0,8894.736842105263,10,0,0.0
observation_any,5,0,9657.894736842105,0,0,0.0
observation_any,5,0,10421.052631578947,0,0,0.0
observation_any,5,0,11184.21052631579,0,0,0.0
observation_any,5,0,11947.368421052632,0,0,0.0
observation_any,5,0,12710.526315789473,0,0,0.0
observation_any,5,0,13473.684210526315,0,0,0.0
observation_any,5,0,14236.842105263157,0,0,0.0
observation_any,5,0,15000.0,0,0,0.0
observation_any,5,1,500.0,26232,21752,0.5384025147892378
observation_any,5,1,1263.157894736842,26744,22586,0.5590455681790055
observation_any,5,1,2026.3157894736842,27144,23126,0.5724115739709413
observation_any,5,1,2789.4736842105262,26678,21182,0.5242939531199723
observation_any,5,1,3552.6315789473683,20406,14715,0.36422365783025173
observation_any,5,1,4315.78947368421,16285,12186,0.3016261973713522
observation_any,5,1,5078.9473684210525,14668,10612,0.26266676567411695
observation_any,5,1,5842.105263157895,11776,8337,0.20635627830994283
observation_any,5,1,6605.263157894737,7798,4963,0.12284349397292146
observation_any,5,1,7368.421052631578,2503,929,0.02299448033464518
observation_any,5,1,8131.578947368421,198,23,0.0005692928392861563
observation_any,5,1,8894.736842105263,25,0,0.0
observation_any,5,1,9657.894736842105,8,0,0.0
observation_any,5,1,10421.052631578947,0,0,0.0
observation_any,5,1,11184.21052631579,0,0,0.0
observation_any,5,1,11947.368421052632,0,0,0.0
observation_any,5,1,12710.526315789473,0,0,0.0
observation_any,5,1,13473.684210526315,0,0,0.0
observation_any,5,1,14236.842105263157,0,0,0.0
observation_any,5,1,15000.0,0,0,0.0
observation_dual,3,0,500.0,1351,848,0.020989579465854804
observation_dual,3,0,1263.157894736842,1603,1032,0.025543922180144056
observation_dual,3,0,2026.3157894736842,1884,1235,0.030568550283408828
observation_dual,3,0,2789.4736842105262,1930,1340,0.03316749585406302
observation_dual,3,0,3552.6315789473683,2009,1485,0.03675651592782357
observation_dual,3,0,4315.78947368421,2054,1538,0.038068364644439495
observation_dual,3,0,5078.9473684210525,2060,1528,0.0378208460186629
observation_dual,3,0,5842.105263157895,1516,937,0.023192495235266453
observation_dual,3,0,6605.263157894737,394,158,0.003910794287270117
observation_dual,3,0,7368.421052631578,83,16,0.0003960298012425435
observation_dual,3,0,8131.578947368421,0,0,0.0
observation_dual,3,0,8894.736842105263,0,0,0.0
observation_dual,3,0,9657.894736842105,0,0,0.0
observation_dual,3,0,10421.052631578947,0,0,0.0
observation_dual,3,0,11184.21052631579,0,0,0.0
observation_dual,3,0,11947.368421052632,0,0,0.0
observation_dual,3,0,12710.526315789473,0,0,0.0
observation_dual,3,0,13473.684210526315,0,0,0.0
observation_dual,3,0,14236.842105263157,0,0,0.0
observation_dual,3,0,15000.0,0,0,0.0
observation_dual,3,1,500.0,1389,927,0.022944976609489864
observation_dual,3,1,1263.157894736842,1667,1112,0.027524071186356774
observation_dual,3,1,2026.3157894736842,1975,1315,0.03254869928962154
observation_dual,3,1,2789.4736842105262,1999,1409,0.03487537437192149
observation_dual,3,1,3552.6315789473683,2018,1574,0.03895943169723522
observation_dual,3,1,4315.78947368421,2062,1633,0.0404197915893171
observation_dual,3,1,5078.9473684210525,2062,1603,0.03967723571198733
observation_dual,3,1,5842.105263157895,1517,1007,0.024925125615702582
observation_dual,3,1,6605.263157894737,421,147,0.0036385237989158686
observation_dual,3,1,7368.421052631578,88,13,0.0003217742135095666
observation_dual,3,1,8131.578947368421,0,0,0.0
observation_dual,3,1,8894.736842105263,0,0,0.0
observation_dual,3,1,9657.894736842105,0,0,0.0
observation_dual,3,1,10421.052631578947,0,0,0.0
observation_dual,3,1,11184.21052631579,0,0,0.0
observation_dual,3,1,11947.368421052632,0,0,0.0
observation_dual,3,1,12710.526315789473,0,0,0.0
observation_dual,3,1,13473.684210526315,0,0,0.0
observation_dual,3,1,14236.842105263157,0,0,0.0
observation_dual,3,1,15000.0,0,0,0.0
observation_dual,3,2,500.0,1490,1019,0.025222147966634488
observation_dual,3,2,1263.157894736842,1781,1199,0.029677483230613103
observation_dual,3,2,2026.3157894736842,2035,1414,0.03499913368480978
observation_dual,3,2,2789.4736842105262,2051,1506,0.03727630504195441
observation_dual,3,2,3552.6315789473683,2081,1670,0.04133561050469048
observation_dual,3,2,4315.78947368421,2103,1701,0.04210291824459791
observation_dual,3,2,5078.9473684210525,2094,1689,0.041805895893666
observation_dual,3,2,5842.105263157895,1530,1092,0.027029033934803593
observation_dual,3,2,6605.263157894737,448,171,0.004232568500779683
observation_dual,3,2,7368.421052631578,86,20,0.0004950372515531794
observation_dual,3,2,8131.578947368421,0,0,0.0
observation_dual,3,2,8894.736842105263,0,0,0.0
observation_dual,3,2,9657.894736842105,0,0,0.0
observation_dual,3,2,10421.052631578947,0,0,0.0
observation_dual,3,2,11184.21052631579,0,0,0.0
observation_dual,3,2,11947.368421052632,0,0,0.0
observation_dual,3,2,12710.526315789473,0,0,0.0
observation_dual,3,2,13473.684210526315,0,0,0.0
observation_dual,3,2,14236.842105263157,0,0,0.0
observation_dual,3,2,15000.0,0,0,0.0
observation_dual,3,3,500.0,1624,1083,0.026806267171604663
observation_dual,3,3,1263.157894736842,1871,1303,0.03225167693868964
observation_dual,3,3,2026.3157894736842,2061,1592,0.03940496522363308
observation_dual,3,3,2789.4736842105262,2068,1673,0.041409866092423454
observation_dual,3,3,3552.6315789473683,2135,1788,0.044256330288854236
observation_dual,3,3,4315.78947368421,2155,1815,0.04492463057845103
observation_dual,3,3,5078.9473684210525,2144,1788,0.044256330288854236
observation_dual,3,3,5842.105263157895,1583,1144,0.028316130788841862
observation_dual,3,3,6605.263157894737,513,196,0.004851365065221158
observation_dual,3,3,7368.421052631578,97,18,0.00044553352639786146
observation_dual,3,3,8131.578947368421,0,0,0.0
observation_dual,3,3,8894.736842105263,0,0,0.0
observation_dual,3,3,9657.894736842105,0,0,0.0
observation_dual,3,3,10421.052631578947,0,0,0.0
observation_dual,3,3,11184.21052631579,0,0,0.0
observation_dual,3,3,11947.368421052632,0,0,0.0
observation_dual,3,3,12710.526315789473,0,0,0.0
observation_dual,3,3,13473.684210526315,0,0,0.0
observation_dual,3,3,14236.842105263157,0,0,0.0
observation_dual,3,3,15000.0,0,0,0.0
observation_dual,4,0,500.0,1474,801,0.019826241924704835
observation_dual,4,0,1263.157894736842,1770,980,0.02425682532610579
observation_dual,4,0,2026.3157894736842,2048,1151,0.02848939382688547
observation_dual,4,0,2789.4736842105262,2055,1252,0.03098933194722903
observation_dual,4,0,3552.6315789473683,2090,1438,0.0355931783866736
observation_dual,4,0,4315.78947368421,2130,1494,0.0369792826910225
observation_dual,4,0,5078.9473684210525,2127,1475,0.03650899730204698
observation_dual,4,0,5842.105263157895,1583,866,0.021435112992252668
observation_dual,4,0,6605.263157894737,462,110,0.0027227048835424864
observation_dual,4,0,7368.421052631578,95,9,0.00022276676319893073
observation_dual,4,0,8131.578947368421,0,0,0.0
observation_dual,4,0,8894.736842105263,0,0,0.0
observation_dual,4,0,9657.894736842105,0,0,0.0
observation_dual,4,0,10421.052631578947,0,0,0.0
observation_dual,4,0,11184.21052631579,0,0,0.0
observation_dual,4,0,11947.368421052632,0,0,0.0
observation_dual,4,0,12710.526315789473,0,0,0.0
observation_dual,4,0,13473.684210526315,0,0,0.0
observation_dual,4,0,14236.842105263157,0,0,0.0
observation_dual,4,0,15000.0,0,0,0.0
observation_dual,4,1,500.0,1557,896,0.022177668869582435
observation_dual,4,1,1263.157894736842,1846,1063,0.026311229920051485
observation_dual,4,1,2026.3157894736842,2075,1252,0.03098933194722903
observation_dual,4,1,2789.4736842105262,2081,1364,0.03376154055592683
observation_dual,4,1,3552.6315789473683,2106,1554,0.03846439444568204
observation_dual,4,1,4315.78947368421,2145,1596,0.03950397267394371
observation_dual,4,1,5078.9473684210525,2144,1577,0.03903368728496819
observation_dual,4,1,5842.105263157895,1589,979,0.02423207346352813
observation_dual,4,1,6605.263157894737,499,126,0.00311873468478503
