window,K,representation,domain,mode,index,singular_value,normalized_singular_value,cumulative_energy,effective_rank,rank_90,rank_95,rank_99
K3_T3-5,3,eulerian,A_common_dense,y,7,0.7520690394826498,0.0022970246370764193,1.0,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,z,1,331.19233654594547,1.0,0.8509669094502472,1.5328060441318563,2,2,2
K3_T3-5,3,eulerian,A_common_dense,z,2,138.12826445135536,0.4170635887651138,0.9989858271622796,1.5328060441318563,2,2,2
K3_T3-5,3,eulerian,A_common_dense,z,3,11.433359559341481,0.034521811943421465,0.9999999716568132,1.5328060441318563,2,2,2
K3_T3-5,3,eulerian,A_common_dense,z,4,0.060443315991113716,0.0001825021575725034,1.0,1.5328060441318563,2,2,2
K3_T3-5,3,eulerian,A_common_dense,time,1,338.8733160147155,1.0,0.890895692615787,1.441743111615878,2,2,2
K3_T3-5,3,eulerian,A_common_dense,time,2,115.67012798299521,0.34133737451895524,0.9946950217268979,1.441743111615878,2,2,2
K3_T3-5,3,eulerian,A_common_dense,time,3,26.14964200332806,0.07716642405149575,1.0,1.441743111615878,2,2,2
K3_T3-5,3,eulerian,A_common_dense,component,1,322.67672982108155,1.0,0.8077694204646719,1.791968915485096,2,2,3
K3_T3-5,3,eulerian,A_common_dense,component,2,141.5418160733538,0.4386489727717155,0.9631946944041387,1.791968915485096,2,2,3
K3_T3-5,3,eulerian,A_common_dense,component,3,68.87778252777494,0.21345754484981433,1.0000000000000002,1.791968915485096,2,2,3
K3_T3-5,3,storm_relative,A_common_dense,x,1,318.08094391414687,1.0,0.7702238660262966,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,2,139.80654239524765,0.4395313365046565,0.919021716953033,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,3,100.04970672607276,0.31454165563931785,0.9952249343755405,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,4,18.183451180415318,0.05716611299205402,0.9977419986072191,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,5,13.956849271753029,0.043878294310897535,0.9992249142454923,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,6,7.647705953482702,0.02404326980225163,0.9996701643512448,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,7,4.773141656337623,0.015006059770829718,0.9998436047707874,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,8,3.332259314001972,0.010476136272097397,0.999928136401974,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,9,2.05936612192113,0.006474346110079995,0.9999604219971173,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,10,1.439996699927923,0.00452713916843944,0.999976207726818,2.0380650230481234,2,3,3
