window,representation,domain,rank_name,z_m,component,rmse_m_s
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2026.3157894736842,u,0.612654050485567
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2026.3157894736842,v,0.5591177151221252
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2026.3157894736842,w,0.3452670812853647
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2789.4736842105262,u,0.4924436312211987
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2789.4736842105262,v,0.6544129145820189
K3_T1-3,storm_relative,A_common_dense,compact_temporal,2789.4736842105262,w,0.35521983387843675
K3_T1-3,storm_relative,A_common_dense,compact_temporal,3552.6315789473683,u,0.3905615244018622
K3_T1-3,storm_relative,A_common_dense,compact_temporal,3552.6315789473683,v,0.7344097649676106
K3_T1-3,storm_relative,A_common_dense,compact_temporal,3552.6315789473683,w,0.3296531420401421
K3_T1-3,storm_relative,A_common_dense,compact_temporal,4315.78947368421,u,0.40354355881342313
K3_T1-3,storm_relative,A_common_dense,compact_temporal,4315.78947368421,v,0.73133471586399
K3_T1-3,storm_relative,A_common_dense,compact_temporal,4315.78947368421,w,0.28714751704893055
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2026.3157894736842,u,0.02653587848005228
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2026.3157894736842,v,0.036044783187519296
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2026.3157894736842,w,0.03680324548593384
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2789.4736842105262,u,0.022953145671548252
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2789.4736842105262,v,0.03224887067035054
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,2789.4736842105262,w,0.04214414268996495
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,3552.6315789473683,u,0.021047030374092668
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,3552.6315789473683,v,0.03745610119926742
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,3552.6315789473683,w,0.04183588539368224
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,4315.78947368421,u,0.019987096569168635
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,4315.78947368421,v,0.03971775741540436
K3_T1-3,storm_relative,A_common_dense,moderate_temporal,4315.78947368421,w,0.03725466202387369
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2026.3157894736842,u,0.5839909099320262
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2026.3157894736842,v,0.40385943979271277
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2026.3157894736842,w,0.265352318886782
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2789.4736842105262,u,0.4618206923255424
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2789.4736842105262,v,0.5940365438278867
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,2789.4736842105262,w,0.2840861307483952
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,3552.6315789473683,u,0.3479343486866171
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,3552.6315789473683,v,0.6862816828324441
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,3552.6315789473683,w,0.2687036305268389
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,4315.78947368421,u,0.36368643584502774
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,4315.78947368421,v,0.6840620141311656
K3_T1-3,storm_relative,A_common_dense,compact_rt_full,4315.78947368421,w,0.24068894811361138
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2026.3157894736842,u,0.02653587848005228
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2026.3157894736842,v,0.036044783187519296
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2026.3157894736842,w,0.03680324548593384
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2789.4736842105262,u,0.022953145671548252
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2789.4736842105262,v,0.03224887067035054
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,2789.4736842105262,w,0.04214414268996495
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,3552.6315789473683,u,0.021047030374092668
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,3552.6315789473683,v,0.03745610119926742
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,3552.6315789473683,w,0.04183588539368224
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,4315.78947368421,u,0.019987096569168635
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,4315.78947368421,v,0.03971775741540436
K3_T1-3,storm_relative,A_common_dense,moderate_rt_full,4315.78947368421,w,0.03725466202387369
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,500.0,u,1.9402961467173858
